// Leo the Helpler


//============================
//Map Drop
//Map	Drop	MinDrop	MaxDrop
//============================
0
0	0	0	1000	//Lorencia
1	0	0	1000	//Dungeon
2	0	0	1000	//Devias
3	0	0	1000	//Noria
4	0	0	1000	//LostTower
5	0	0	1000	//Exile
6	0	0	1000	//Arena
7	0	0	1000	//Atlans
8	0	0	1000	//Tarkan
9	0	0	1000	//DevilSquare
10	0	0	1000	//Icarus
end

//=========================================================================
//Drop Options
//Name			ZenAmount	ItemType	Index	ItemLvl	DropRate NormDrop	ExcDrop
//=========================================================================
1
"Leo the Helpler"		100000		0	0	 0	 0	 100	  	1
end

//==================================================================
//Item Drops
//Type	Item	MinLvl	MaxLvl	Skill	Luck	Option	Exc	Name
//==================================================================
2
1800
	7	16	0	5	1	1	1	0
	8	16	0	5	1	1	1	0
	9	16	0	5	1	1	1	0
	10	16	0	5	1	1	1	0
	11	16	0	5	1	1	1	0
	7	18	0	5	1	1	1	0
	8	18	0	5	1	1	1	0
	9	18	0	5	1	1	1	0
	10	18	0	5	1	1	1	0
	11	18	0	5	1	1	1	0
	7	19	0	5	1	1	1	0
	8	19	0	5	1	1	1	0
	9	19	0	5	1	1	1	0
	10	19	0	5	1	1	1	0
	11	19	0	5	1	1	1	0
	7	27	0	5	1	1	1	0
	8	27	0	5	1	1	1	0
	9	27	0	5	1	1	1	0
	10	27	0	5	1	1	1	0
	11	27	0	5	1	1	1	0
	7	15	0	5	1	1	1	0
	8	15	0	5	1	1	1	0
	9	15	0	5	1	1	1	0
	10	15	0	5	1	1	1	0
	11	15	0	5	1	1	1	0
	7	24	0	5	1	1	1	0
	8	24	0	5	1	1	1	0
	9	24	0	5	1	1	1	0
	10	24	0	5	1	1	1	0
	11	24	0	5	1	1	1	0
	0	16	0	5	1	1	1	0
	3	10	0	5	1	1	1	0
	5	9	0	5	1	1	1	0
	0	31	0	5	1	1	1	0
	4	17	0	5	1	1	1	0
	2	11	0	5	1	1	1	0
	5	20	0	5	1	1	1	0
	5	23	0	5	1	1	1	0
	13	80	0	0	0	0	0	0
	13	123	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	14	13	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	101	0	0	0	0	0	0
	14	110	0	0	0	0	0	0
end
end
