//---------------------------------------------------------------------------
// MU Server List
// MU ConnectServer by S@nek © Copyright 2007-2009
// In one Server can be a maximum 16 Sub-Servers. (16 visibles)
//---------------------------------------------------------------------------

//---------------------------------------------------------------------------
// "GameServerID" | "NameServer" | "IP" | "Port" | "Status(SHOW, HIDE)"
//---------------------------------------------------------------------------
// 0-65535 | 0-30 characters | 0-16 characters | 0-65535 | SHOW/HIDE
//---------------------------------------------------------------------------

// Server-1: 0-19
0 "GS" "169.254.114.60" 55901 "SHOW" // Локал
1 "GS" "169.254.114.60" 55901 "SHOW" // Машина
2 "GSCS" "169.254.114.60" 55919 "HIDE"

// Server-2: 20-39

// Server-3: 40-59

// Server-4: 60-79

// Server-21: 400-419

