//------------------------------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    			  //
// Waiting Time (Min)      Wait For Start (Min)     Battle Time (Min)   CompensationTime (Min)      Min Players		  //
//------------------------------------------------------------------------------------------------------------------------//
0
	5			   1			  15			4			2
end

//------------------------------------------------------------------------------------------------------------------------//
// Event Schedules                                                                                  			  //
// Hours (24 Format)   Minutes (59 Format) 						            			  //
//------------------------------------------------------------------------------------------------------------------------//
1
	0	30
	2	30
	4	30
	8	30
	12	30
	14	30
	16	30
	18	30
	20	30
	22	30
end
