//--------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    //
// Castle Doors Open (Min)      Event Duration (Min)   Close After Event Duration Runs Out (Min)    //
//--------------------------------------------------------------------------------------------------//
0
	5				10				1
end

//--------------------------------------------------------------------------------------------------//
// Configurations                                                                                   //
// Item Drop Rate (10/N)      Excellent Item Drop Rate (1/N)    Monster Regen Time (Min)            //
//--------------------------------------------------------------------------------------------------//
1
	100				1000				0
end

//--------------------------------------------------------------------------------------------------//
// Event Schedules                                                                                  //
// Hours (24 Format)   Minutes (59 Format) 						            //
//--------------------------------------------------------------------------------------------------//
2
	00	00
	02	00
	04	00
	06	00
	08	00
	10	00
	11	00
	14	00
	16	00
	18	00
	20	00
	22	00
end


//--------------------------------------------------------------------------------------------------//
// Probability of Winning Ancient (N/10000)                                                         //
//--------------------------------------------------------------------------------------------------//
3
	1200
end
