//--------------------------------------------------------------------------------------------------//
// Time Settings                                                                                    //
// Castle Doors Open (Min)      Event Duration (Min)   Close After Divine Weapon Is Delivered (Min) //
//--------------------------------------------------------------------------------------------------//
0
	5				15				1
end

//--------------------------------------------------------------------------------------------------//
// Configurations                                                                                   //
// Item Drop Rate (10/N)      Excellent Item Drop Rate (1/N)    Monster Regen Time (Min)            //
//--------------------------------------------------------------------------------------------------//
1
	100				1200				0
end

//--------------------------------------------------------------------------------------------------//
// Castle Doors                                                                                     //
// Castle Lvl                     Crystal Statue Heal               Castle Door Heal                //
//--------------------------------------------------------------------------------------------------//
2
	0				65000				150000
	1				105000				205000
	2				145000				260000
	3				185000				325000
	4				225000				400000
	5				265000				480000
	6				305000				565000
end
